Dataset Name,Image Name,Assay Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Developmental Stage],Protocol REF,Experimental Condition [Antibody],Term Source 2 REF,Term Source 2 Accession,Comment [Antibody],Comment [Probe],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Image File Path],Comment [Image File Comments],Channels,Processed Data File,Visualisation Method,Expression Pattern Description
HDBR_ACTA2_IHC,E145_cs19_126.jpg,HuDSeN:775,"Embryo E145, slide 126",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,ACTA2,NCBITaxon,NM_001613.2,Sigma A2547,,ENSG00000107796,ACTA2,HDBR_ACTA2_IHC/E145_cs19_126.jpg,Original experimental image,Brightfield,,DAB,Heart (strong)
HDBR_ACTA2_IHC,E226_cs23_014.jpg,HuDSeN:775,"Embryo E226, slide 14",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ACTA2,NCBITaxon,NM_001613.2,Sigma A2547,,ENSG00000107796,ACTA2,HDBR_ACTA2_IHC/E226_cs23_014.jpg,Original experimental image,Brightfield,,DAB,Heart (strong)
HDBR_ACTA2_IHC,E226_cs23_015.jpg,HuDSeN:775,"Embryo E226, slide 15",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ACTA2,NCBITaxon,NM_001613.2,Sigma A2547,,ENSG00000107796,ACTA2,HDBR_ACTA2_IHC/E226_cs23_015.jpg,Original experimental image,Brightfield,,DAB,Heart (strong)
HDBR_ACTA2_IHC,E226_cs23_016.jpg,HuDSeN:775,"Embryo E226, slide 16",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ACTA2,NCBITaxon,NM_001613.2,Sigma A2547,,ENSG00000107796,ACTA2,HDBR_ACTA2_IHC/E226_cs23_016.jpg,Original experimental image,Brightfield,,DAB,Heart (strong)
HDBR_ACTA2_IHC,E226_cs23_017.jpg,HuDSeN:775,"Embryo E226, slide 17",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ACTA2,NCBITaxon,NM_001613.2,Sigma A2547,,ENSG00000107796,ACTA2,HDBR_ACTA2_IHC/E226_cs23_017.jpg,Original experimental image,Brightfield,,DAB,Heart (strong)
HDBR_ACTA2_IHC,E226_cs23_027.jpg,HuDSeN:775,"Embryo E226, slide 27",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ACTA2,NCBITaxon,NM_001613.2,Sigma A2547,,ENSG00000107796,ACTA2,HDBR_ACTA2_IHC/E226_cs23_027.jpg,Original experimental image,Brightfield,,DAB,Heart (strong)
HDBR_ACTA2_IHC,E51_12pcw_134_ACTA2.jpg,HuDSeN:775,"Fetus E51, slide 134",Homo sapiens,NCBITaxon,9606,12PCW,Immunohistochemistry,ACTA2,NCBITaxon,NM_001613.2,Sigma A2547,,ENSG00000107796,ACTA2,HDBR_ACTA2_IHC/E51_12pcw_134_ACTA2.jpg,Original experimental image,Brightfield,,DAB,Heart (strong)
HDBR_BRCA1_IHC,"11557,3,head,L8pcw,061_BRCA1.svs",HuDSeN:901,"Embryo 11557, slide 61",Homo sapiens,NCBITaxon,9606,8PCW,Immunohistochemistry,BRCA1,NCBITaxon,NM_007294,Atlas Antibodies HPA034966,,ENSG00000012048,BRCA1,"HDBR_BRCA1_IHC/11557,3,head,L8pcw,061_BRCA1.svs",Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_C5AR1_IF,N1576_CD88_merge_CS13_medulla.jpg,HuDSeN:750,Embryo N1576,Homo sapiens,NCBITaxon,9606,CS13,Immunofluorescence,C5AR1,NCBITaxon,NM_001736,Hycult Biotech HM2095,,ENSG00000197405,C5AR1,HDBR_C5AR1_IF/N1576_CD88_merge_CS13_medulla.jpg,Original experimental image,Fluorescence,,Alexofluor 488,Brain (strong)
HDBR_CALB2_IHC_CS19,3DView.jpg,HuDSeN:698,3D view,Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS19/3DView.jpg,3D view of data mapped into a CS19 model,,"Red = strong expression, yellow = moderate expression",,
HDBR_CALB2_IHC_CS19,3DView.mpg,HuDSeN:698,3D movie,Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS19/3DView.mpg,3D movie of data mapped into a CS19 model,,"Red = strong expression, yellow = moderate expression",,
HDBR_CALB2_IHC_CS19,N703_030_4.jpg,HuDSeN:698,"Embryo N703, slide 30, section 4",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS19/N703_030_4.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS19,N703_035_3.jpg,HuDSeN:698,"Embryo N703, slide 35, section 3",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS19/N703_035_3.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS19,N703_044_1.jpg,HuDSeN:698,"Embryo N703, slide 44, section 1",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS19/N703_044_1.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS19,N703_050_4.jpg,HuDSeN:698,"Embryo N703, slide 50, section 4",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS19/N703_050_4.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS19,N703_060_3.jpg,HuDSeN:698,"Embryo N703, slide 60, section 3",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS19/N703_060_3.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS19,N703_070_2.jpg,HuDSeN:698,"Embryo N703, slide 70, section 2",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS19/N703_070_2.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS19,N703_084_3.jpg,HuDSeN:698,"Embryo N703, slide 84, section 3",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS19/N703_084_3.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS19,N703_099_2.jpg,HuDSeN:698,"Embryo N703, slide 99, section 2",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS19/N703_099_2.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS20,3DView.jpg,HuDSeN:711,3D view,Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS20/3DView.jpg,3D view of data mapped into a CS20 model,,"Red = strong expression, blue = weak expression",,
HDBR_CALB2_IHC_CS20,3DView.mpg,HuDSeN:711,3D movie,Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS20/3DView.mpg,3D movie of data mapped into a CS20 model,,"Red = strong expression, blue = weak expression",,
HDBR_CALB2_IHC_CS20,N446_CS20_108_03_Calretinin.jpg,HuDSeN:711,"Embryo 446, slide 108, section 3",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS20/N446_CS20_108_03_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS20,N446_CS20_120_01_Calretinin.jpg,HuDSeN:711,"Embryo 446, slide 120, section 1",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS20/N446_CS20_120_01_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS20,N446_CS20_126_01_Calretinin.jpg,HuDSeN:711,"Embryo 446, slide 126, section 1",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS20/N446_CS20_126_01_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS20,N590_CS20_125_03_Calretinin.jpg,HuDSeN:711,"Embryo 590, slide 125, section 3",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS20/N590_CS20_125_03_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS20,N590_CS20_144_01_Calretinin.jpg,HuDSeN:711,"Embryo 590, slide 144, section 1",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS20/N590_CS20_144_01_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS20,N590_CS20_166_01_Calretinin.jpg,HuDSeN:711,"Embryo 590, slide 166, section 1",Homo sapiens,NCBITaxon,9606,CS20,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS20/N590_CS20_166_01_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS23,N1288_CS23_129_02a_Calretinin.jpg,HuDSeN:642,"Embryo N1288, slide 129, section 2",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS23/N1288_CS23_129_02a_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS23,N1288_CS23_129_02b_Calretinin.jpg,HuDSeN:642,"Embryo N1288, slide 129, section 2",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS23/N1288_CS23_129_02b_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS23,N1288_CS23_129_02_Calretinin.jpg,HuDSeN:642,"Embryo N1288, slide 129, section 2",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS23/N1288_CS23_129_02_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS23,N1288_CS23_139_01_Calretinin.jpg,HuDSeN:642,"Embryo N1288, slide 139, section 1",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS23/N1288_CS23_139_01_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS23,N1288_CS23_146_02a_Calretinin.jpg,HuDSeN:642,"Embryo N1288, slide 146, section 2",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS23/N1288_CS23_146_02a_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS23,N1288_CS23_146_02_Calretinin.jpg,HuDSeN:642,"Embryo N1288, slide 146, section 2",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS23/N1288_CS23_146_02_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS23,N1288_CS23_159_01_Calretinin.jpg,HuDSeN:642,"Embryo N1288, slide 159, section 1",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS23/N1288_CS23_159_01_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALB2_IHC_CS23,N1288_CS23_163_03_Calretinin.jpg,HuDSeN:642,"Embryo N1288, slide 163, section 3",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,CALB2,NCBITaxon,NM_001740,Swant 6B3,,ENSG00000172137,CALB2,HDBR_CALB2_IHC_CS23/N1288_CS23_163_03_Calretinin.jpg,Original experimental image,Brightfield,,DAB,Brain (strong)
HDBR_CALD1_IHC_12PCW,E51_12pcw_119_CALD1.jpg,HuDSeN:880,"Fetus E51, slide 119",Homo sapiens,NCBITaxon,9606,12PCW,Immunohistochemistry,CALD1,NCBITaxon,NM_033138,Sigma C4562,,ENSG00000122786,CALD1,HDBR_CALD1_IHC_12PCW/E51_12pcw_119_CALD1.jpg,Original experimental image,Brightfield,,DAB,"Heart, lung (strong)"
